,bt_ability,bt_s.e.,wins
栃ノ心,2.48288743674132,0.9433778420458659,14
高安,1.5656747773541102,0.8472368406891311,12
鶴竜,0.674690957764392,0.731304420206992,11
逸ノ城,0.40124508915403095,0.7474682111805101,8
遠藤,0.104988247098482,0.633012353698979,9
阿炎,0.0,0.0,9
竜電,-0.0704321492930615,0.551923434811798,9
石浦,-0.17623643133605302,0.559803741336,9
輝,-0.23228866559717604,0.542848646458291,9
大栄翔,-0.281178970290915,0.544374621644086,8
松鳳山,-0.360877727287303,0.5775169036082299,8
朝乃山,-0.3860733316137221,0.547510462196079,9
豊山,-0.407278069375846,0.548137206235325,8
魁聖,-0.412108299669266,0.571529932078026,7
荒鷲,-0.418448235248071,0.6630248786410939,8
正代,-0.4552113553587,0.6528228713092951,7
千代丸,-0.529932779891232,0.567167475136523,8
宝富士,-0.579251292676452,0.6252433742681021,7
豪栄道,-0.649726067832062,0.708389660574359,7
御嶽海,-0.649726067832062,0.70838966057436,7
錦木,-0.7977679138951519,0.560331806688293,8
千代大龍,-0.843287218026731,0.674098739670555,7
碧山,-0.8544985401610079,1.11558596992549,1
大奄美,-0.9112291664268629,0.5731423534965601,7
琴勇輝,-0.9496105653774899,0.583402141428938,7
玉鷲,-1.0095479522795898,0.709164761936741,6
千代翔馬,-1.1162452343072,0.596450092848407,6
大翔丸,-1.13816390638198,0.563709853420755,6
琴奨菊,-1.2603642391015,0.710279172655774,4
蒼国来,-1.36361943591317,0.582676883491184,6
隠岐の海,-1.37730350100307,0.654031518476634,5
千代の国,-1.4305613723445,0.6030525296173361,6
貴景勝,-1.59563400444213,0.747169340613734,4
豪風,-1.77873652706021,0.593587202524704,5
安美錦,-2.3920594909466697,0.6722385474286589,3
北勝富士,-2.51766037487222,0.756067395765186,3
勢,-2.64718801609947,0.705072592989414,4
嘉風,-3.60795002884825,0.9569339428154191,1
旭大星,-17.1647899281391,1191.2617842046302,0
照ノ富士,-17.937214197609602,596.193256817437,0
